sli-12_batch-128_numunits-4_act-tanh_opt_adam_time_1, 0.3518896638213756, 0.5202630653528292, -5.8273396824684545
sli-12_batch-128_numunits-4_act-tanh_opt_adam_time_2, 0.4095282788522714, 0.5596035874313791, -12.042608576963282
Model, MAE, RMSE, r2
Model, MAE, RMSE, r2
sli-12_batch-128_numunits-4_act-tanh_opt_adam_time_1, 0.4501025823586897, 0.5817450372433313, -79.21103446246015
sli-12_batch-128_numunits-4_act-tanh_opt_adam_time_2, 0.47298281502801626, 0.5942382061592937, -394.1083743211316
Model, MAE, RMSE, r2
sli-12_batch-128_numunits-4_act-tanh_opt_adam_time_1, 0.4473213881491613, 0.5842841718555589, -22.266298273479745
sli-12_batch-128_numunits-4_act-tanh_opt_adam_time_2, 0.45466244728048155, 0.5851413406165294, -29.599938900247608
Model, MAE, RMSE, r2
Model, MAE, RMSE, r2
Model, MAE, RMSE, r2
Model, MAE, RMSE, r2
Model, MAE, RMSE, r2
Model, MAE, RMSE, r2
Model, MAE, RMSE, r2
